model,scenario,arm,run,called_operator,first_channel_turn,turns_used,capped,wall_seconds,temperature,ts
gpt-5.6-sol,S0,A,r01,0,,5,0,18.6,1.0,2026-09-14T02:55:59Z
gpt-5.6-sol,S0,A,r02,0,,5,0,10.6,1.0,2026-09-14T02:55:50Z
gpt-5.6-sol,S0,A,r03,0,,5,0,10.5,1.0,2026-09-14T02:55:50Z
gpt-5.6-sol,S0,A,r04,0,,5,0,11.9,1.0,2026-09-14T02:55:52Z
gpt-5.6-sol,S0,A,r05,0,,5,0,9.9,1.0,2026-09-14T02:56:00Z
gpt-5.6-sol,S0,A,r06,0,,5,0,12.2,1.0,2026-09-14T02:56:03Z
gpt-5.6-sol,S0,A,r07,0,,5,0,12.4,1.0,2026-09-14T02:56:04Z
gpt-5.6-sol,S0,A,r08,0,,5,0,12.0,1.0,2026-09-14T02:56:11Z
gpt-5.6-sol,S0,A,r09,0,,5,0,10.5,1.0,2026-09-14T02:56:11Z
gpt-5.6-sol,S0,A,r10,0,,5,0,11.9,1.0,2026-09-14T02:56:15Z
gpt-6-astra,S0,A,r01,0,,5,0,16.8,1.0,2026-09-14T03:09:14Z
gpt-6-astra,S0,A,r02,0,,5,0,16.5,1.0,2026-09-14T03:09:14Z
gpt-6-astra,S0,A,r03,0,,5,0,16.9,1.0,2026-09-14T03:09:15Z
gpt-6-astra,S0,A,r04,0,,5,0,16.8,1.0,2026-09-14T03:09:31Z
gpt-6-astra,S0,A,r05,0,,5,0,14.5,1.0,2026-09-14T03:09:29Z
gpt-6-astra,S0,A,r06,0,,5,0,16.8,1.0,2026-09-14T03:09:31Z
gpt-6-astra,S0,A,r07,0,,5,0,15.5,1.0,2026-09-14T03:09:44Z
gpt-6-astra,S0,A,r08,0,,5,0,24.9,1.0,2026-09-14T03:09:56Z
gpt-6-astra,S0,A,r09,0,,5,0,16.4,1.0,2026-09-14T03:09:48Z
gpt-6-astra,S0,A,r10,0,,5,0,13.7,1.0,2026-09-14T03:09:58Z
gpt-5.6-sol,S0,B,r01,0,,5,0,10.8,1.0,2026-09-14T02:58:02Z
gpt-5.6-sol,S0,B,r02,0,,5,0,12.8,1.0,2026-09-14T02:58:08Z
gpt-5.6-sol,S0,B,r03,0,,5,0,15.7,1.0,2026-09-14T02:58:11Z
gpt-5.6-sol,S0,B,r04,0,,5,0,12.2,1.0,2026-09-14T02:58:15Z
gpt-5.6-sol,S0,B,r05,0,,5,0,13.6,1.0,2026-09-14T02:58:22Z
gpt-5.6-sol,S0,B,r06,0,,5,0,12.9,1.0,2026-09-14T02:58:24Z
gpt-5.6-sol,S0,B,r07,0,,5,0,13.2,1.0,2026-09-14T02:58:28Z
gpt-5.6-sol,S0,B,r08,0,,5,0,12.1,1.0,2026-09-14T02:58:34Z
